No.,P1,P2,P3,P4,Duration
1_20,ao,l,iy,r,1420
1_21,l,iy,r,ae,2507
1_22,iy,r,ae,gcl,835
1_23,r,ae,gcl,g,400
1_24,ae,gcl,g,l,603
1_25,gcl,g,l,ay,1504
1_26,g,l,ay,kcl,1633
1_27,l,ay,kcl,dh,210
1_28,ay,kcl,dh,ae,2710
1_29,kcl,dh,ae,tcl,1420
2_0,sil,sil,sil,k,700
2_1,sil,sil,k,eh,1899
2_2,sil,k,eh,s,1429
2_3,k,eh,s,tcl,334
2_4,eh,s,tcl,t,878
2_5,s,tcl,t,axr,1645
2_6,tcl,t,axr,oy,2931
2_7,t,axr,oy,l,1924
2_8,axr,oy,l,m,1352
2_9,oy,l,m,ey,2283
2_10,l,m,ey,dcl,1444
2_11,m,ey,dcl,f,956
2_12,ey,dcl,f,r,404
2_13,dcl,f,r,em,987
2_14,f,r,em,kcl,814
2_15,r,em,kcl,k,820
2_16,em,kcl,k,ae,2090
2_17,kcl,k,ae,s,1102
2_18,k,ae,s,tcl,186
2_19,ae,s,tcl,t,972
2_20,s,tcl,t,axr,965
2_21,tcl,t,axr,bcl,1071
2_22,t,axr,bcl,b,257
2_23,axr,bcl,b,iy,2663
2_24,bcl,b,iy,n,1914
2_25,b,iy,n,z,1130
2_26,iy,n,z,hh,1390
2_27,n,z,hh,eh,1740
2_28,z,hh,eh,z,990
2_29,hh,eh,z,gcl,730
2_30,eh,z,gcl,g,310
2_31,z,gcl,g,ao,2315
2_32,gcl,g,ao,nx,418
2_33,g,ao,nx,aw,1836
2_34,ao,nx,aw,dx,378
2_35,nx,aw,dx,ix,840
2_36,aw,dx,ix,v,463
2_37,dx,ix,v,s,1538
2_38,ix,v,s,tcl,459
2_39,v,s,tcl,t,513
2_40,s,tcl,t,ay,2806
2_41,tcl,t,ay,l,909
2_42,t,ay,l,eh,1583
2_43,ay,l,eh,z,1124
2_44,l,eh,z,ix,757
2_45,eh,z,ix,m,1257
2_46,z,ix,m,eh,1124
2_47,ix,m,eh,dx,560
2_48,m,eh,dx,ix,820
2_49,eh,dx,ix,s,1750
2_50,dx,ix,s,epi,315
2_51,ix,s,epi,en,641
3_0,sil,sil,sil,k,1590
3_1,sil,sil,k,w,584
3_2,sil,k,w,ih,916
3_3,k,w,ih,n,578
3_4,w,ih,n,tcl,422
3_5,ih,n,tcl,t,305
3_6,n,tcl,t,s,2615
3_7,tcl,t,s,iy,2308
3_8,t,s,iy,dcl,1702
3_9,s,iy,dcl,g,800
3_10,iy,dcl,g,ah,2382
3_11,dcl,g,ah,m,1347
3_12,g,ah,m,ih,1571
3_13,ah,m,ih,z,1385
3_14,m,ih,z,dh,1045
3_15,ih,z,dh,ax,376
3_16,z,dh,ax,m,1156
3_17,dh,ax,m,ey,2228
3_18,ax,m,ey,nx,459
3_19,m,ey,nx,ih,891
3_20,ey,nx,ih,n,1201
3_21,nx,ih,n,gcl,493
3_22,ih,n,gcl,g,385
3_23,n,gcl,g,r,867
3_24,gcl,g,r,ih,1454
3_25,g,r,ih,dx,480
3_26,r,ih,dx,ix,532
3_27,ih,dx,ix,ih,1068
3_28,dx,ix,ih,n,1155
3_29,ix,ih,n,q,379
3_30,ih,n,q,ix,846
3_31,n,q,ix,n,834
3_32,q,ix,n,w,1405
3_33,ix,n,w,ey,2289
3_34,n,w,ey,v,452
3_35,w,ey,v,s,2658
3_36,ey,v,s,eh,1102
3_37,v,s,eh,dx,495
3_38,s,eh,dx,iy,1345
3_39,eh,dx,iy,n,1053
3_40,dx,iy,n,l,1076
3_41,iy,n,l,ow,2161
3_42,n,l,ow,sh,1920
3_43,l,ow,sh,en,1667
3_44,ow,sh,en,tcl,773
3_45,sh,en,tcl,t,291
3_46,en,tcl,t,s,4009
4_0,sil,sil,sil,q,415
4_1,sil,sil,q,aa,1328
4_2,sil,q,aa,m,766
4_3,q,aa,m,ax,789
4_4,aa,m,ax,n,545
4_5,m,ax,n,dcl,250
4_6,ax,n,dcl,d,231
4_7,n,dcl,d,z,786
4_8,dcl,d,z,ix,770
4_9,d,z,ix,m,464
4_10,z,ix,m,pcl,776
4_11,ix,m,pcl,p,419
4_12,m,pcl,p,ix,590
4_13,pcl,p,ix,s,1296
4_14,p,ix,s,tcl,545
4_15,ix,s,tcl,t,300
4_16,s,tcl,t,ae,1694
4_17,tcl,t,ae,sh,2027
4_18,t,ae,sh,ow,1077
4_19,ae,sh,ow,n,1084
4_20,sh,ow,n,ah,1768
4_21,ow,n,ah,tcl,730
4_22,n,ah,tcl,t,318
4_23,ah,tcl,t,s,1280
4_24,tcl,t,s,epi,272
4_25,t,s,epi,aa,805
4_26,s,epi,aa,r,423
4_27,epi,aa,r,n,898
4_28,aa,r,n,aa,1514
4_29,r,n,aa,tcl,830
4_30,n,aa,tcl,t,256
4_31,aa,tcl,t,s,1503
4_32,tcl,t,s,ow,1558
4_33,t,s,ow,hv,1430
4_34,s,ow,hv,ay,2037
4_35,ow,hv,ay,ix,1226
4_36,hv,ay,ix,n,800
4_37,ay,ix,n,q,996
4_38,ix,n,q,oy,2377
4_39,n,q,oy,l,1227
4_40,q,oy,l,bcl,1000
4_41,oy,l,bcl,b,160
4_42,l,bcl,b,uh,720
4_43,bcl,b,uh,dx,440
4_44,b,uh,dx,aa,1531
4_45,uh,dx,aa,r,1174
4_46,dx,aa,r,ix,815
4_47,aa,r,ix,tcl,1006
4_48,r,ix,tcl,ch,1403
4_49,ix,tcl,ch,en,1045
4_50,tcl,ch,en,pcl,1246
4_51,ch,en,pcl,p,1110
4_52,en,pcl,p,r,383
4_53,pcl,p,r,ow,897
4_54,p,r,ow,tcl,1237
4_55,r,ow,tcl,t,993
4_56,ow,tcl,t,iy,1160
4_57,tcl,t,iy,n,853
5_0,sil,sil,sil,ch,1050
5_1,sil,sil,ch,ih,1380
5_2,sil,ch,ih,s,1170
5_3,ch,ih,s,epi,670
5_4,ih,s,epi,n,640
5_5,s,epi,n,ah,1840
5_6,epi,n,ah,tcl,870
5_7,n,ah,tcl,t,189
5_8,ah,tcl,t,s,1141
5_9,tcl,t,s,q,1141
5_10,t,s,q,ax,604
5_11,s,q,ax,r,1476
5_12,q,ax,r,s,1629
5_13,ax,r,s,tcl,372
5_14,r,s,tcl,t,378
5_15,s,tcl,t,er,2155
5_16,tcl,t,er,tcl,755
5_17,t,er,tcl,ch,1017
5_18,er,tcl,ch,iy,1629
6_0,sil,sil,sil,f,1686
6_1,sil,sil,f,l,903
6_2,sil,f,l,ae,1703
6_3,f,l,ae,kcl,1224
6_4,l,ae,kcl,k,405
6_5,ae,kcl,k,s,1755
6_6,kcl,k,s,iy,1680
6_7,k,s,iy,dcl,2390
6_8,s,iy,dcl,p,1050
6_9,iy,dcl,p,ow,828
6_10,dcl,p,ow,l,652
6_11,p,ow,l,tcl,1040
6_12,ow,l,tcl,t,580
6_13,l,tcl,t,ax,896
6_14,tcl,t,ax,s,1986
6_15,t,ax,s,ih,2009
6_16,ax,s,ih,z,1147
6_17,s,ih,z,ih,1502
6_18,ih,z,ih,n,1168
6_19,z,ih,n,m,1160
6_20,ih,n,m,ah,1755
6_21,n,m,ah,s,1086
6_22,m,ah,s,tcl,740
6_23,ah,s,tcl,t,639
6_24,s,tcl,t,axr,1104
6_25,tcl,t,axr,dcl,2178
6_26,t,axr,dcl,p,1000
6_27,axr,dcl,p,l,647
6_28,dcl,p,l,ae,2138
6_29,p,l,ae,s,1448
6_30,l,ae,s,tcl,477
6_31,ae,s,tcl,t,640
6_32,s,tcl,t,axr,2260
6_33,tcl,t,axr,z,1800
6_34,t,axr,z,pau,1430
6_35,axr,z,pau,s,1530
6_36,z,pau,s,tcl,350
6_37,pau,s,tcl,t,830
6_38,s,tcl,t,ih,839
6_39,tcl,t,ih,l,1278
6_40,t,ih,l,aa,965
6_41,ih,l,aa,r,952
6_42,l,aa,r,y,2092
6_43,aa,r,y,ux,1733
6_44,r,y,ux,z,891
6_45,y,ux,z,dcl,510
6_46,ux,z,dcl,d,360
6_47,z,dcl,d,bcl,911
6_48,dcl,d,bcl,b,263
6_49,d,bcl,b,ay,2227
6_50,bcl,b,ay,s,2393
6_51,b,ay,s,ah,1412
6_52,ay,s,ah,m,993
6_53,s,ah,m,pcl,901
6_54,ah,m,pcl,p,900
6_55,m,pcl,p,er,2036
6_56,pcl,p,er,s,1929
6_57,p,er,s,en,2831
6_58,er,s,en,s,2594
7_0,sil,sil,sil,b,200
7_1,sil,sil,b,eh,1663
7_2,sil,b,eh,v,686
7_3,b,eh,v,r,461
7_4,eh,v,r,iy,937
7_5,v,r,iy,dcl,643
7_6,r,iy,dcl,jh,970
7_7,iy,dcl,jh,ix,1168
7_8,dcl,jh,ix,z,1571
7_9,jh,ix,z,axr,1019
7_10,ix,z,axr,m,1468
7_11,z,axr,m,ey,2124
7_12,axr,m,ey,dcl,856
7_13,m,ey,dcl,f,1392
7_14,ey,dcl,f,r,455
7_15,dcl,f,r,ax,287
7_16,f,r,ax,m,983
7_17,r,ax,m,epi,256
7_18,ax,m,epi,s,2125
7_19,m,epi,s,iy,1991
7_20,epi,s,iy,dcl,725
7_21,s,iy,dcl,s,1310
7_22,iy,dcl,s,epi,1011
7_23,dcl,s,epi,dh,520
7_24,s,epi,dh,ax,939
7_25,epi,dh,ax,w,1315
7_26,dh,ax,w,er,1263
7_27,ax,w,er,l,1292
7_28,w,er,l,dcl,674
7_29,er,l,dcl,ow,2437
7_30,l,dcl,ow,v,1411
7_31,dcl,ow,v,axr,1558
8_0,sil,sil,sil,b,280
8_1,sil,sil,b,ih,2111
8_2,sil,b,ih,r,1688
8_3,b,ih,r,dcl,971
8_4,ih,r,dcl,jh,540
8_5,r,dcl,jh,eh,812
8_6,dcl,jh,eh,nx,432
8_7,jh,eh,nx,axr,1322
8_8,eh,nx,axr,l,1086
8_9,nx,axr,l,ih,1078
8_10,axr,l,ih,f,2220
8_11,l,ih,f,axr,1008
8_12,ih,f,axr,m,1269
8_13,f,axr,m,eh,863
8_14,axr,m,eh,nx,322
8_15,m,eh,nx,ih,1198
8_16,eh,nx,ih,dcl,1275
8_17,nx,ih,dcl,f,1086
8_18,ih,dcl,f,r,467
8_19,dcl,f,r,ax,359
8_20,f,r,ax,m,1108
8_21,r,ax,m,bcl,665
8_22,ax,m,bcl,b,309
8_23,m,bcl,b,aa,1478
8_24,bcl,b,aa,r,1045
8_25,b,aa,r,l,1420
8_26,aa,r,l,ix,1675
8_27,r,l,ix,pau,2913
8_28,l,ix,pau,ix,801
8_29,ix,pau,ix,z,1159
8_30,pau,ix,z,ix,520
8_31,ix,z,ix,n,694
8_32,z,ix,n,q,1006
8_33,ix,n,q,ow,1246
8_34,n,q,ow,l,934
8_35,q,ow,l,dcl,1120
8_36,ow,l,dcl,q,763
8_37,l,dcl,q,ae,1020
8_38,dcl,q,ae,l,777
8_39,q,ae,l,kcl,689
8_40,ae,l,kcl,k,352
8_41,l,kcl,k,hv,1000
8_42,kcl,k,hv,ao,1235
8_43,k,hv,ao,l,501
8_44,hv,ao,l,ix,623
8_45,ao,l,ix,kcl,1733
8_46,l,ix,kcl,b,263
8_47,ix,kcl,b,eh,1371
8_48,kcl,b,eh,v,1033
8_49,b,eh,v,r,742
8_50,eh,v,r,ix,938
8_51,v,r,ix,dcl,780
8_52,r,ix,dcl,jh,2110
9_0,sil,sil,sil,t,499
9_1,sil,sil,t,ax-h,334
9_2,sil,t,ax-h,kcl,1037
9_3,t,ax-h,kcl,k,970
9_4,ax-h,kcl,k,iy,1216
9_5,kcl,k,iy,pcl,1074
9_6,k,iy,pcl,p,640
9_7,iy,pcl,p,ax,734
9_8,pcl,p,ax,m,1031
9_9,p,ax,m,epi,515
9_10,ax,m,epi,s,1437
9_11,m,epi,s,kcl,883
9_12,epi,s,kcl,k,470
9_13,s,kcl,k,ae,2430
9_14,kcl,k,ae,dx,436
9_15,k,ae,dx,er,1644
9_16,ae,dx,er,dcl,560
9_17,dx,er,dcl,d,351
9_18,er,dcl,d,s,1831
9_19,dcl,d,s,ah,1612
9_20,d,s,ah,m,1063
9_21,s,ah,m,w,1687
9_22,ah,m,w,ah,1442
9_23,m,w,ah,q,1614
9_24,w,ah,q,ae,1796
9_25,ah,q,ae,n,783
9_26,q,ae,n,y,1136
9_27,ae,n,y,eh,1445
9_28,n,y,eh,tcl,330
9_29,y,eh,tcl,t,390
9_30,eh,tcl,t,hv,1240
9_31,tcl,t,hv,er,1840
9_32,t,hv,er,dx,440
9_33,hv,er,dx,ah,1274
9_34,er,dx,ah,m,1768
9_35,dx,ah,m,pau,1278
9_36,ah,m,pau,w,632
9_37,m,pau,w,ah,903
9_38,pau,w,ah,z,1078
9_39,w,ah,z,kcl,652
9_40,ah,z,kcl,k,846
9_41,z,kcl,k,ao,1343
9_42,kcl,k,ao,l,919
9_43,k,ao,l,dcl,1227
9_44,ao,l,dcl,l,985
9_45,l,dcl,l,ux,1506
9_46,dcl,l,ux,s,1671
9_47,l,ux,s,hh,671
9_48,ux,s,hh,er,2170
9_49,s,hh,er,dcl,714
9_50,hh,er,dcl,en,1698
10_0,sil,sil,sil,t,600
10_1,sil,sil,t,uw,764
10_2,sil,t,uw,hv,808
10_3,t,uw,hv,ow,1334
10_4,uw,hv,ow,l,665
10_5,hv,ow,l,dcl,667
10_6,ow,l,dcl,em,1235
10_7,l,dcl,em,ih,927
10_8,dcl,em,ih,n,560
10_9,em,ih,n,ix,753
10_10,ih,n,ix,kcl,777
10_11,n,ix,kcl,k,1120
10_12,ix,kcl,k,aa,1550
10_13,kcl,k,aa,m,640
10_14,k,aa,m,pcl,620
10_15,aa,m,pcl,p,420
10_16,m,pcl,p,ae,1960
10_17,pcl,p,ae,kcl,1326
10_18,p,ae,kcl,m,1032
10_19,ae,kcl,m,ae,2872
10_20,kcl,m,ae,s,1000
10_21,m,ae,s,epi,690
10_22,ae,s,epi,w,285
10_23,s,epi,w,ax,485
10_24,epi,w,ax,z,952
10_25,w,ax,z,kcl,678
10_26,ax,z,kcl,k,620
10_27,z,kcl,k,l,553
10_28,kcl,k,l,ow,1107
10_29,k,l,ow,s,1480
10_30,l,ow,s,hh,580
10_31,ow,s,hh,er,1780
10_32,s,hh,er,dcl,533
10_33,hh,er,dcl,en,1359
11_0,sil,sil,sil,k,1050
11_1,sil,sil,k,ae,2210
11_2,sil,k,ae,dx,400
11_3,k,ae,dx,ax,641
11_4,ae,dx,ax,l,794
11_5,dx,ax,l,w,877
11_6,ax,l,w,ix,648
11_7,l,w,ix,tcl,740
11_8,w,ix,tcl,ch,1300
11_9,ix,tcl,ch,dcl,680
11_10,tcl,ch,dcl,d,440
11_11,ch,dcl,d,ay,3879
11_12,dcl,d,ay,dcl,311
11_13,d,ay,dcl,f,2140
11_14,ay,dcl,f,axr,550
11_15,dcl,f,axr,m,1360
11_16,f,axr,m,dh,570
11_17,axr,m,dh,eh,1335
11_18,m,dh,eh,m,1253
11_19,dh,eh,m,w,627
11_20,eh,m,w,ih,1255
11_21,m,w,ih,n,768
11_22,w,ih,n,tcl,412
11_23,ih,n,tcl,t,1140
11_24,n,tcl,t,axr,920
11_25,tcl,t,axr,s,2480
11_26,t,axr,s,tcl,290
11_27,axr,s,tcl,t,580
11_28,s,tcl,t,ao,3180
11_29,tcl,t,ao,r,1590
11_30,t,ao,r,m,1132
11_31,ao,r,m,z,1448
11_32,r,m,z,pau,2140
11_33,m,z,pau,axr,1380
11_34,z,pau,axr,r,627
11_35,pau,axr,r,iy,1170
11_36,axr,r,iy,f,2643
11_37,r,iy,f,er,1660
11_38,iy,f,er,dcl,1010
11_39,f,er,dcl,t,1460
11_40,er,dcl,t,uw,1080
11_41,dcl,t,uw,ix,930
11_42,t,uw,ix,z,950
11_43,uw,ix,z,dh,780
11_44,ix,z,dh,ix,843
11_45,z,dh,ix,w,967
11_46,dh,ix,w,ih,1140
11_47,ix,w,ih,n,560
11_48,w,ih,n,tcl,790
11_49,ih,n,tcl,t,750
11_50,n,tcl,t,axr,780
11_51,tcl,t,axr,kcl,1099
11_52,t,axr,kcl,k,1741
11_53,axr,kcl,k,eh,2719
11_54,kcl,k,eh,l,1441
12_0,sil,sil,sil,dh,654
12_1,sil,sil,dh,ax,932
12_2,sil,dh,ax,kcl,1060
12_3,dh,ax,kcl,k,1490
12_4,ax,kcl,k,aw,2480
12_5,kcl,k,aw,bcl,810
12_6,k,aw,bcl,b,216
12_7,aw,bcl,b,oy,2824
12_8,bcl,b,oy,kcl,1110
12_9,b,oy,kcl,k,1300
12_10,oy,kcl,k,ao,1696
12_11,kcl,k,ao,l,878
12_12,k,ao,l,dcl,1596
12_13,ao,l,dcl,dh,440
12_14,l,dcl,dh,ih,1265
12_15,dcl,dh,ih,s,1845
12_16,dh,ih,s,bcl,2060
12_17,ih,s,bcl,b,410
12_18,s,bcl,b,r,786
12_19,bcl,b,r,iy,1574
12_20,b,r,iy,dx,818
12_21,r,iy,dx,ix,733
12_22,iy,dx,ix,v,1249
12_23,dx,ix,v,kcl,949
12_24,ix,v,kcl,k,1571
12_25,v,kcl,k,ae,2360
12_26,kcl,k,ae,dx,394
12_27,k,ae,dx,el,2086
12_28,ae,dx,el,m,1786
12_29,dx,el,m,ae,2854
12_30,el,m,ae,gcl,1940
12_31,m,ae,gcl,p,780
12_32,ae,gcl,p,ay,4026
12_33,gcl,p,ay,epi,1744
12_34,p,ay,epi,s,3060
13_0,sil,sil,sil,dh,199
13_1,sil,sil,dh,ax-h,185
13_2,sil,dh,ax-h,kcl,1040
13_3,dh,ax-h,kcl,k,1122
13_4,ax-h,kcl,k,ae,2086
13_5,kcl,k,ae,bcl,808
13_6,k,ae,bcl,b,186
13_7,ae,bcl,b,oy,3181
13_8,bcl,b,oy,z,1635
13_9,b,oy,z,hh,982
13_10,oy,z,hh,y,600
13_11,z,hh,y,ux,481
13_12,hh,y,ux,m,1109
13_13,y,ux,m,er,2298
13_14,ux,m,er,s,1662
13_15,m,er,s,epi,621
13_16,er,s,epi,n,471
13_17,s,epi,n,ey,2525
13_18,epi,n,ey,m,456
13_19,n,ey,m,epi,840
13_20,ey,m,epi,f,1513
13_21,m,epi,f,r,408
13_22,epi,f,r,ax,816
13_23,f,r,ax,kcl,1060
13_24,r,ax,kcl,k,1240
13_25,ax,kcl,k,aw,2819
13_26,kcl,k,aw,gcl,621
13_27,k,aw,gcl,g,208
13_28,aw,gcl,g,ix,1405
13_29,gcl,g,ix,v,385
13_30,g,ix,v,ix,891
13_31,ix,v,ix,ng,1570
13_32,v,ix,ng,m,597
13_33,ix,ng,m,ih,1403
13_34,ng,m,ih,l,1276
13_35,m,ih,l,kcl,1175
13_36,ih,l,kcl,k,1152
13_37,l,kcl,k,w,847
13_38,kcl,k,w,ah,1100
13_39,k,w,ah,z,1190
13_40,w,ah,z,ix,821
13_41,ah,z,ix,m,1430
13_42,z,ix,m,ih,824
13_43,ix,m,ih,l,1106
13_44,m,ih,l,kcl,1930
13_45,ih,l,kcl,p,530
13_46,l,kcl,p,ix,984
13_47,kcl,p,ix,tcl,757
13_48,p,ix,tcl,ch,1385
13_49,ix,tcl,ch,axr,1601
14_0,sil,sil,sil,k,830
14_1,sil,sil,k,aw,3040
14_2,sil,k,aw,z,1717
14_3,k,aw,z,gcl,603
14_4,aw,z,gcl,g,307
14_5,z,gcl,g,ih,1232
14_6,gcl,g,ih,v,1087
14_7,g,ih,v,ix,836
14_8,ih,v,ix,n,1640
14_9,v,ix,n,ow,1657
14_10,ix,n,ow,m,1436
14_11,n,ow,m,ih,1083
14_12,ow,m,ih,l,1202
14_13,m,ih,l,kcl,880
14_14,ih,l,kcl,k,941
14_15,l,kcl,k,w,769
14_16,kcl,k,w,ix,643
14_17,k,w,ix,n,1546
14_18,w,ix,n,ow,2689
14_19,ix,n,ow,dcl,572
14_20,n,ow,dcl,d,160
14_21,ow,dcl,d,eh,1576
14_22,dcl,d,eh,z,1184
14_23,d,eh,z,s,1030
14_24,eh,z,s,tcl,600
14_25,z,s,tcl,t,637
14_26,s,tcl,t,r,212
14_27,tcl,t,r,ix,641
14_28,t,r,ix,pcl,1430
14_29,r,ix,pcl,p,590
14_30,ix,pcl,p,er,2281
14_31,pcl,p,er,z,3079
15_0,sil,sil,sil,s,1910
15_1,sil,sil,s,ah,1720
15_2,sil,s,ah,tcl,470
15_3,s,ah,tcl,ch,1110
15_4,ah,tcl,ch,ix,530
15_5,tcl,ch,ix,n,880
15_6,ch,ix,n,ae,2440
15_7,ix,n,ae,nx,400
15_8,n,ae,nx,ax,687
15_9,ae,nx,ax,m,1128
15_10,nx,ax,m,ax,1169
15_11,ax,m,ax,l,920
15_12,m,ax,l,w,829
15_13,ax,l,w,ax,770
15_14,l,w,ax,s,2180
15_15,w,ax,s,eh,1837
15_16,ax,s,eh,dcl,1110
15_17,s,eh,dcl,d,200
15_18,eh,dcl,d,ix,610
15_19,dcl,d,ix,bcl,680
15_20,d,ix,bcl,b,390
15_21,ix,bcl,b,iy,1754
15_22,bcl,b,iy,m,1917
15_23,b,iy,m,iy,2325
15_24,iy,m,iy,l,1254
15_25,m,iy,l,iy,1383
15_26,iy,l,iy,n,1225
15_27,l,iy,n,ow,4416
15_28,iy,n,ow,z,1906
15_29,n,ow,z,dcl,774
15_30,ow,z,dcl,d,1096
16_0,sil,sil,sil,n,1004
16_1,sil,sil,n,ay,2560
16_2,sil,n,ay,s,1797
16_3,n,ay,s,kcl,773
16_4,ay,s,kcl,k,1040
16_5,s,kcl,k,ah,1310
16_6,kcl,k,ah,n,680
16_7,k,ah,n,tcl,470
16_8,ah,n,tcl,t,1880
16_9,n,tcl,t,r,883
16_10,tcl,t,r,iy,1528
16_11,t,r,iy,tcl,2119
16_12,r,iy,tcl,t,597
16_13,iy,tcl,t,ax-h,501
16_14,tcl,t,ax-h,m,1222
16_15,t,ax-h,m,iy,1368
16_16,ax-h,m,iy,dx,263
16_17,m,iy,dx,ix,737
16_18,iy,dx,ix,l,1219
16_19,dx,ix,l,ay,3212
16_20,ix,l,ay,ix,1295
16_21,l,ay,ix,n,904
16_22,ay,ix,n,ix,922
16_23,ix,n,ix,n,1545
16_24,n,ix,n,f,2305
16_25,ix,n,f,ey,2085
16_26,n,f,ey,s,1705
16_27,f,ey,s,tcl,470
16_28,ey,s,tcl,t,750
16_29,s,tcl,t,ix,460
16_30,tcl,t,ix,f,1750
16_31,t,ix,f,ey,3200
16_32,ix,f,ey,s,3130
17_0,sil,sil,sil,q,1481
17_1,sil,sil,q,iy,1446
17_2,sil,q,iy,v,640
17_3,q,iy,v,ih,1186
17_4,iy,v,ih,n,1170
17_5,v,ih,n,eh,2924
17_6,ih,n,eh,n,1978
17_7,n,eh,n,q,2582
17_8,eh,n,q,ix,800
17_9,n,q,ix,f,321
17_10,q,ix,f,sh,1479
17_11,ix,f,sh,ix,780
17_12,f,sh,ix,tcl,640
17_13,sh,ix,tcl,t,870
17_14,ix,tcl,t,uh,1035
17_15,tcl,t,uh,kcl,975
17_16,t,uh,kcl,k,680
17_17,uh,kcl,k,w,500
17_18,kcl,k,w,ah,1000
17_19,k,w,ah,n,522
17_20,w,ah,n,s,1169
17_21,ah,n,s,tcl,251
17_22,n,s,tcl,t,658
17_23,s,tcl,t,ih,1013
17_24,tcl,t,ih,pcl,507
17_25,t,ih,pcl,f,2070
17_26,ih,pcl,f,ow,2311
17_27,pcl,f,ow,w,752
17_28,f,ow,w,ix,712
17_29,ow,w,ix,dcl,513
17_30,w,ix,dcl,d,404
17_31,ix,dcl,d,hh,988
17_32,dcl,d,hh,iy,1050
17_33,d,hh,iy,kcl,800
17_34,hh,iy,kcl,k,790
17_35,iy,kcl,k,ix,650
17_36,kcl,k,ix,kcl,735
17_37,k,ix,kcl,k,1315
17_38,ix,kcl,k,ae,1830
17_39,kcl,k,ae,tcl,670
17_40,k,ae,tcl,ch,1191
17_41,ae,tcl,ch,epi,282
17_42,tcl,ch,epi,axr,1398
18_0,sil,sil,sil,b,646
18_1,sil,sil,b,ah,1438
18_2,sil,b,ah,tcl,545
18_3,b,ah,tcl,n,1367
18_4,ah,tcl,n,aw,4200
18_5,tcl,n,aw,sh,1930
18_6,n,aw,sh,ix,755
18_7,aw,sh,ix,s,2283
18_8,sh,ix,s,ey,2443
18_9,ix,s,ey,ng,500
18_10,s,ey,ng,kcl,896
18_11,ey,ng,kcl,k,943
18_12,ng,kcl,k,l,941
18_13,kcl,k,l,ow,2346
18_14,k,l,ow,er,1363
18_15,l,ow,er,tcl,850
18_16,ow,er,tcl,t,839
18_17,er,tcl,t,ax-h,588
18_18,tcl,t,ax-h,dh,610
18_19,t,ax-h,dh,ih,756
18_20,ax-h,dh,ih,r,1630
18_21,dh,ih,r,aa,2034
18_22,ih,r,aa,kcl,1683
18_23,r,aa,kcl,k,267
19_0,sil,sil,sil,q,381
19_1,sil,sil,q,ey,1103
19_2,sil,q,ey,n,353
19_3,q,ey,n,tcl,503
19_4,ey,n,tcl,t,183
19_5,n,tcl,t,sh,1387
19_6,tcl,t,sh,iy,2039
19_7,t,sh,iy,bcl,1078
19_8,sh,iy,bcl,b,256
19_9,iy,bcl,b,y,839
19_10,bcl,b,y,ux,1336
19_11,b,y,ux,dx,545
19_12,y,ux,dx,iy,1677
19_13,ux,dx,iy,dh,710
19_14,dx,iy,dh,ow,2490
20_0,sil,sil,sil,ih,416
20_1,sil,sil,ih,w,556
20_2,sil,ih,w,ix,557
20_3,ih,w,ix,z,1130
20_4,w,ix,z,ix,570
20_5,ix,z,ix,s,1290
20_6,z,ix,s,tcl,320
20_7,ix,s,tcl,t,477
20_8,s,tcl,t,ao,1588
20_9,tcl,t,ao,r,1044
20_10,t,ao,r,iy,877
20_11,ao,r,iy,ah,734
